"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,244,"USA","United States",1,"Alabama","State","State",NA,"AL|Ala."
2,244,"USA","United States",2,"Alaska","State","State",NA,"AK|Alaska"
3,244,"USA","United States",2,"Alaska","State","State",NA,"AK|Alaska"
4,244,"USA","United States",3,"Arizona","State","State",NA,"AZ|Ariz."
5,244,"USA","United States",4,"Arkansas","State","State",NA,"AR|Ark."
6,244,"USA","United States",5,"California","State","State",NA,"CA|Calif."
7,244,"USA","United States",6,"Colorado","State","State",NA,"CO|Colo."
8,244,"USA","United States",7,"Connecticut","State","State",NA,"CT|Conn."
9,244,"USA","United States",8,"Delaware","State","State",NA,"DE|Del."
10,244,"USA","United States",9,"District of Columbia","Federal District","Federal District",NA,"DC|D.C."
11,244,"USA","United States",10,"Florida","State","State",NA,"FL|Fla."
12,244,"USA","United States",11,"Georgia","State","State",NA,"GA|Ga."
13,244,"USA","United States",12,"Hawaii","State","State",NA,"HI|Hawaii"
14,244,"USA","United States",13,"Idaho","State","State",NA,"ID|Idaho"
15,244,"USA","United States",14,"Illinois","State","State",NA,"IL|Ill."
16,244,"USA","United States",15,"Indiana","State","State",NA,"IN|Ind."
17,244,"USA","United States",16,"Iowa","State","State",NA,"IA|Iowa"
18,244,"USA","United States",17,"Kansas","State","State",NA,"KS|Kans."
19,244,"USA","United States",18,"Kentucky","State","State",NA,"Commonwealth of Kentucky|KY"
20,244,"USA","United States",19,"Louisiana","State","State",NA,"LA"
21,244,"USA","United States",20,"Maine","State","State",NA,"ME|Maine"
22,244,"USA","United States",21,"Maryland","State","State",NA,"MD"
23,244,"USA","United States",22,"Massachusetts","State","State",NA,"Commonwealth of Massachusetts|MA|Mass."
24,244,"USA","United States",23,"Michigan","State","State",NA,"MI|Mich."
25,244,"USA","United States",24,"Minnesota","State","State",NA,"MN|Minn."
26,244,"USA","United States",25,"Mississippi","State","State",NA,"MS|Miss."
27,244,"USA","United States",26,"Missouri","State","State",NA,"MO"
28,244,"USA","United States",27,"Montana","State","State",NA,"MT|Mont."
29,244,"USA","United States",28,"Nebraska","State","State",NA,"NE|Nebr."
30,244,"USA","United States",29,"Nevada","State","State",NA,"NV|Nev."
31,244,"USA","United States",30,"New Hampshire","State","State",NA,"NH|N.H."
32,244,"USA","United States",31,"New Jersey","State","State",NA,"NJ|N.J."
33,244,"USA","United States",32,"New Mexico","State","State",NA,"NM|N.M."
34,244,"USA","United States",33,"New York","State","State",NA,"NY|N.Y."
35,244,"USA","United States",34,"North Carolina","State","State",NA,"NC|N.C."
36,244,"USA","United States",35,"North Dakota","State","State",NA,"ND|N.D."
37,244,"USA","United States",36,"Ohio","State","State",NA,"OH|Ohio"
38,244,"USA","United States",37,"Oklahoma","State","State",NA,"OK|Okla."
39,244,"USA","United States",38,"Oregon","State","State",NA,"OR|Ore."
40,244,"USA","United States",39,"Pennsylvania","State","State",NA,"Commonwealth of Pennsylvania|PA"
41,244,"USA","United States",40,"Rhode Island","State","State",NA,"State of Rhode Island and Providence Plantations|RI|R.I."
42,244,"USA","United States",41,"South Carolina","State","State",NA,"SC|S.C."
43,244,"USA","United States",42,"South Dakota","State","State",NA,"SD|S.D."
44,244,"USA","United States",43,"Tennessee","State","State",NA,"TN|Tenn."
45,244,"USA","United States",44,"Texas","State","State",NA,"TX|Tex."
46,244,"USA","United States",45,"Utah","State","State",NA,"UT"
47,244,"USA","United States",46,"Vermont","State","State",NA,"VT"
48,244,"USA","United States",47,"Virginia","State","State",NA,"VA"
49,244,"USA","United States",48,"Washington","State","State",NA,"WA|Wash."
50,244,"USA","United States",49,"West Virginia","State","State",NA,"WV|W.Va."
51,244,"USA","United States",50,"Wisconsin","State","State",NA,"WI|Wis."
52,244,"USA","United States",51,"Wyoming","State","State",NA,"WY|Wyo."
