title,authors,description,published_date
The Fire Next Time,James Baldwin,NA,1985
Notes of a Native Son,James Baldwin,"Originally published in 1955, James Baldwin's first nonfiction book has become a classic. These searing essays on life in Harlem, the protest novel, movies, and Americans abroad remain as powerful today as when they were written. ""He named for me the things you feel but couldn't utter. . . . Jimmy's essays articulated for the first time to white America what it meant to be American and a black American at the same time."" -Henry Louis Gates, Jr.",1984
Conversations with James Baldwin,James Baldwin,"Selected interviews with the American writer shares his observations on his life and career, politics, Civil Rights, and the role of the artist",1989
If Beale Street Could Talk,James Baldwin,"In this honest and stunning novel, now a major motion picture directed by Barry Jenkins, James Baldwin has given America a moving story of love in the face of injustice. Told through the eyes of Tish, a nineteen-year-old girl, in love with Fonny, a young sculptor who is the father of her child, Baldwin’s story mixes the sweet and the sad. Tish and Fonny have pledged to get married, but Fonny is falsely accused of a terrible crime and imprisoned. Their families set out to clear his name, and as they face an uncertain future, the young lovers experience a kaleidoscope of emotions–affection, despair, and hope. In a love story that evokes the blues, where passion and sadness are inevitably intertwined, Baldwin has created two characters so alive and profoundly realized that they are unforgettably ingrained in the American psyche.",2013-09-17
James Baldwin: The Last Interview,James Baldwin,"Never before available, the unexpurgated last interview with James Baldwin “I was not born to be what someone said I was. I was not born to be defined by someone else, but by myself, and myself only.” When, in the fall of 1987, the poet Quincy Troupe traveled to the south of France to interview James Baldwin, Baldwin’s brother David told him to ask Baldwin about everything—Baldwin was critically ill and David knew that this might be the writer’s last chance to speak at length about his life and work. The result is one of the most eloquent and revelatory interviews of Baldwin’s career, a conversation that ranges widely over such topics as his childhood in Harlem, his close friendship with Miles Davis, his relationship with writers like Toni Morrison and Richard Wright, his years in France, and his ever-incisive thoughts on the history of race relations and the African-American experience. Also collected here are significant interviews from other moments in Baldwin’s life, including an in-depth interview conducted by Studs Terkel shortly after the publication of Nobody Knows My Name. These interviews showcase, above all, Baldwin’s fearlessness and integrity as a writer, thinker, and individual, as well as the profound struggles he faced along the way.",2014-12-02
Collected Essays,James Baldwin,"A comprehensive compilation of Baldwin's previously published, nonfiction writings encompasses essays on America's racial divide, the social and political turbulence of his time, and his insights into the poetry of Langston Hughes and the music of Earl Hines.",1998
Go tell it on the mountain : [a novel],James Baldwin,This novel of Black life in America is written with an impartial attitude,1985
No Name in the Street,James Baldwin,"This stunningly personal document and extraordinary history of the turbulent sixties and early seventies displays James Baldwin's fury and despair more deeply than any of his other works. In vivid detail he remembers the Harlem childhood that shaped his early conciousness, the later events that scored his heart with pain--the murders of Martin Luther King and Malcolm X, his sojourns in Europe and in Hollywood, and his retum to the American South to confront a violent America face-to-face.",2013-09-17
James Baldwin in Context,D. Quentin Miller,"James Baldwin in Context provides a wide-ranging collection of approaches to the work of an essential black American author who is just as relevant now as he was during his turbulent heyday in the mid-twentieth century. The perspectives range from those who knew Baldwin personally, to scholars who have dedicated decades to studying him, to a new generation of scholars for whom Baldwin is nearly a historical figure. This collection complements the ever-growing body of scholarship on Baldwin by combining traditional inroads into his work, such as music and expatriation, with new approaches, such as intersectionality and the Black Lives Matter movement.",2019-08-01
Vintage Baldwin,James Baldwin,"An anthology of writings by the great African-American writer includes short stories, essays, and novel and play exerpts, including such works as ""Sonny's Blues,"" ""Emancipation"" from The Fire Next Time, ""The Discovery of What It Means to Be an American,"" and selections from Another Country. Original. 25,000 first printing.",2004
The Devil Finds Work,James Baldwin,"James Baldwin At The Movies... Provocative, timeless, brilliant. Bette Davis's eyes, Joan Crawford's bitchy elegance, Stepin Fetchit's stereotype, Sidney Poitier's superhuman black man... These are the movie stars and the qualities that influenced James Baldwin... and now become part of his incisive look at racism in American movies. Baldwin challenges the underlying assumptions in such films as In the Heat of the Night, Guess Who's Coming to Dinner, and The Exorcist, offering us a vision of America's self-delusions and deceptions. Here are our loves and hates, biases and cruelties, fears and ignorance reflected by the films that have entertained us and shaped our consciousness. And here, too, is the stunning prose of a writer whose passion never diminished his struggle for equality, justice, and social change. From The Birth of a Nation to The Exorcist--one of America's most important writers turns his critical eye to American film.",2013-09-17
Understanding James Baldwin,Marc Dudley,"The Harlem-born son of a storefront preacher, James Baldwin died almost thirty years ago, but his spirit lives on in the eloquent and still-relevant musings of his novels, short stories, essays, and poems. What concerned him most—as a black man, as a gay man, as an American—were notions of isolation and disconnection at both the individual and communal level and a conviction that only in the transformative power of love could humanity find any hope of healing its spiritual and social wounds. In Understanding James Baldwin, Marc K. Dudley shows that a proper grasp of Baldwin’s work begins with a grasp of the times in which he wrote. During a career spanning the civil rights movement and beyond, Baldwin stood at the heart of intellectual and political debate, writing about race, sexual identity, and gendered politics, while traveling the world to promote dialogue on those issues. In surveying the writer’s life, Dudley traces the shift in Baldwin’s aspirations from occupying the pulpit like his stepfather to becoming a writer amid the turmoil of sexual self-discovery and the harsh realities of American racism and homophobia. The book’s analyses of key works in the Baldwin canon—among them, Go Tell It on the Mountain, Giovanni’s Room, “Sonny’s Blues,” Another Country, The Fire Next Time, and The Devil Finds Work—demonstrate the consistency, contrary to some critics’ claims, of Baldwin’s vision and thematic concerns. As police violence against people of color, a resurgence in white supremacist rhetoric, and pushback against LGBTQ rights fill today’s headlines, James Baldwin’s powerful and often-angry words find a new resonance. From early on, Baldwin decried the damning potential of alienation and the persistent bigotry that feeds it. Yet, even as it sometimes wavered, his hope for both the individual and the nation remained intact. In the present historical moment, James Baldwin matters more than ever.",2019-04-17
The Fire Next Time,James Baldwin,"A national bestseller when it first appeared in 1963, The Fire Next Time galvanized the nation and gave passionate voice to the emerging civil rights movement. At once a powerful evocation of James Baldwin's early life in Harlem and a disturbing examination of the consequences of racial injustice, the book is an intensely personal and provocative document. It consists of two ""letters,"" written on the occasion of the centennial of the Emancipation Proclamation, that exhort Americans, both black and white, to attack the terrible legacy of racism. Described by The New York Times Book Review as ""sermon, ultimatum, confession, deposition, testament, and chronicle...all presented in searing, brilliant prose,"" The Fire Next Time stands as a classic of our literature.",2013-09-17
