title,authors,description,published_date
Digital_Humanities,"Anne Burdick,Johanna Drucker,Peter Lunenfeld,Todd Presner,Jeffrey Schnapp","Digital_Humanities is a compact, game-changing report on the state of contemporary knowledge production. Answering the question ""What is digital humanities?,"" it provides an in-depth examination of an emerging field. This collaboratively authored and visually compelling volume explores methodologies and techniques unfamiliar to traditional modes of humanistic inquiry -- including geospatial analysis, data mining, corpus linguistics, visualization, and simulation -- to show their relevance for contemporary culture. Written by five leading practitioner-theorists whose varied backgrounds embody the intellectual and creative diversity of the field, Digital_Humanities is a vision statement for the future, an invitation to engage, and a critical tool for understanding the shape of new scholarship.",2012-11-16
Debates in the Digital Humanities 2016,"Matthew K. Gold,Lauren F. Klein","Pairing full-length scholarly essays with shorter pieces drawn from scholarly blogs and conference presentations, as well as commissioned interviews and position statements, Debates in the Digital Humanities 2016 reveals a dynamic view of a field in negotiation with its identity, methods, and reach. Pieces in the book explore how DH can and must change in response to social justice movements and events like #Ferguson; how DH alters and is altered by community college classrooms; and how scholars applying DH approaches to feminist studies, queer studies, and black studies might reframe the commitments of DH analysts. Numerous contributors examine the movement of interdisciplinary DH work into areas such as history, art history, and archaeology, and a special forum on large-scale text mining brings together position statements on a fast-growing area of DH research. In the multivalent aspects of its arguments, progressing across a range of platforms and environments, Debates in the Digital Humanities 2016 offers a vision of DH as an expanded field—new possibilities, differently structured. Published simultaneously in print, e-book, and interactive webtext formats, each DH annual will be a book-length publication highlighting the particular debates that have shaped the discipline in a given year. By identifying key issues as they unfold, and by providing a hybrid model of open-access publication, these volumes and the Debates in the Digital Humanities series will articulate the present contours of the field and help forge its future. Contributors: Moya Bailey, Northeastern U; Fiona Barnett; Matthew Battles, Harvard U; Jeffrey M. Binder; Zach Blas, U of London; Cameron Blevins, Rutgers U; Sheila A. Brennan, George Mason U; Timothy Burke, Swarthmore College; Rachel Sagner Buurma, Swarthmore College; Micha Cárdenas, U of Washington–Bothell; Wendy Hui Kyong Chun, Brown U; Tanya E. Clement, U of Texas–Austin; Anne Cong-Huyen, Whittier College; Ryan Cordell, Northeastern U; Tressie McMillan Cottom, Virginia Commonwealth U; Amy E. Earhart, Texas A&M U; Domenico Fiormonte, U of Roma Tre; Paul Fyfe, North Carolina State U; Jacob Gaboury, Stony Brook U; Kim Gallon, Purdue U; Alex Gil, Columbia U; Brian Greenspan, Carleton U; Richard Grusin, U of Wisconsin, Milwaukee; Michael Hancher, U of Minnesota; Molly O’Hagan Hardy; David L. Hoover, New York U; Wendy F. Hsu; Patrick Jagoda, U of Chicago; Jessica Marie Johnson, Michigan State U; Steven E. Jones, Loyola U; Margaret Linley, Simon Fraser U; Alan Liu, U of California, Santa Barbara; Elizabeth Losh, U of California, San Diego; Alexis Lothian, U of Maryland; Michael Maizels, Wellesley College; Mark C. Marino, U of Southern California; Anne B. McGrail, Lane Community College; Bethany Nowviskie, U of Virginia; Julianne Nyhan, U College London; Amanda Phillips, U of California, Davis; Miriam Posner, U of California, Los Angeles; Rita Raley, U of California, Santa Barbara; Stephen Ramsay, U of Nebraska–Lincoln; Margaret Rhee, U of Oregon; Lisa Marie Rhody, Graduate Center, CUNY; Roopika Risam, Salem State U; Stephen Robertson, George Mason U; Mark Sample, Davidson College; Jentery Sayers, U of Victoria; Benjamin M. Schmidt, Northeastern U; Scott Selisker, U of Arizona; Jonathan Senchyne, U of Wisconsin, Madison; Andrew Stauffer, U of Virginia; Joanna Swafford, SUNY New Paltz; Toniesha L. Taylor, Prairie View A&M U; Dennis Tenen; Melissa Terras, U College London; Anna Tione; Ted Underwood, U of Illinois, Urbana–Champaign; Ethan Watrall, Michigan State U; Jacqueline Wernimont, Arizona State U; Laura Wexler, Yale U; Hong-An Wu, U of Illinois, Urbana–Champaign.",2016-05-18
The Digital Humanities,"Eileen Gardiner,Ronald G. Musto","This is an introduction and practical guide to how humanists use the digital to research, organize, analyze, and publish findings.",2015-06-30
Understanding Digital Humanities,D. Berry,"Confronting the digital revolution in academia, this book examines the application of new computational techniques and visualisation technologies in the Arts & Humanities. Uniting differing perspectives, leading and emerging scholars discuss the theoretical and practical challenges that computation raises for these disciplines.",2012-02-07
Digital Humanities,"David M. Berry,Anders Fagerjord","As the twenty-first century unfolds, computers challenge the way in which we think about culture, society and what it is to be human: areas traditionally explored by the humanities. In a world of automation, Big Data, algorithms, Google searches, digital archives, real-time streams and social networks, our use of culture has been changing dramatically. The digital humanities give us powerful theories, methods and tools for exploring new ways of being in a digital age. Berry and Fagerjord provide a compelling guide, exploring the history, intellectual work, key arguments and ideas of this emerging discipline. They also offer an important critique, suggesting ways in which the humanities can be enriched through computing, but also how cultural critique can transform the digital humanities. Digital Humanities will be an essential book for students and researchers in this new field but also related areas, such as media and communications, digital media, sociology, informatics, and the humanities more broadly.",2017-05-30
A Companion to Digital Humanities,"Susan Schreibman,Ray Siemens,John Unsworth","This Companion offers a thorough, concise overview of the emerging field of humanities computing. Contains 37 original articles written by leaders in the field. Addresses the central concerns shared by those interested in the subject. Major sections focus on the experience of particular disciplines in applying computational methods to research problems; the basic principles of humanities computing; specific applications and methods; and production, dissemination and archiving. Accompanied by a website featuring supplementary materials, standard readings in the field and essays to be included in future editions of the Companion.",2008-04-15
Research Methods for the Digital Humanities,"lewis levenberg,Tai Neilson,David Rheams","This volume introduces the reader to the wide range of methods that digital humanities employ, and offers a practical guide to the study, interpretation, and presentation of cultural material and practices. In this instance, the editors consider digital humanities to include both the use of computing to understand cultural material in new ways, and the application of theories and methods from the humanities to interpret new technologies. Each chapter provides a step-by-step guide to cutting-edge methodologies so that students can make informed decisions about the methods they use, consider ethical practices, follow practical procedures, and present their work effectively. Readers will develop practical and reflexive understandings of the software and digital devices that they study and use for research, and the book will help new researchers collaborate and contribute to their scholarly communities, and to public discourse. As contemporary humanities work becomes increasingly interdisciplinary, and increasingly permeated by and with digital technologies, this volume helps new researchers navigate an evolving academic environment. Humanities and social sciences students will find this textbook an invaluable resource for assessing and creating digital projects.",2018
Digital Humanities and Buddhism,Daniel Veidlinger,"IDH Religion provides a series of short introductions to specific areas of study at the intersections of digital humanities and religion, offering an overview of current methodologies, techniques, tools, and projects as well as defining challenges and opportunities for further research. This volume explores DH and Buddhism in four sections: Theory and Method; Digital Conservation, Preservation and Archiving; Digital Analysis; Digital Resources. It covers themes such as language processing, digital libraries, online lexicography, and ethnographic methods.",2019-06-04
Doing Digital Humanities,"Constance Crompton,Richard J Lane,Ray Siemens","Digital Humanities is rapidly evolving as a significant approach to/method of teaching, learning and research across the humanities. This is a first-stop book for people interested in getting to grips with digital humanities whether as a student or a professor. The book offers a practical guide to the area as well as offering reflection on the main objectives and processes, including: Accessible introductions of the basics of Digital Humanities through to more complex ideas A wide range of topics from feminist Digital Humanities, digital journal publishing, gaming, text encoding, project management and pedagogy Contextualised case studies Resources for starting Digital Humanities such as links, training materials and exercises Doing Digital Humanities looks at the practicalities of how digital research and creation can enhance both learning and research and offers an approachable way into this complex, yet essential topic.",2016-09-13
The Emergence of the Digital Humanities,Steven E. Jones,"The past decade has seen a profound shift in our collective understanding of the digital network. What was once understood to be a transcendent virtual reality is now experienced as a ubiquitous grid of data that we move through and interact with every day, raising new questions about the social, locative, embodied, and object-oriented nature of our experience in the networked world. In The Emergence of the Digital Humanities, Steven E. Jones examines this shift in our relationship to digital technology and the ways that it has affected humanities scholarship and the academy more broadly. Based on the premise that the network is now everywhere rather than merely ""out there,"" Jones links together seemingly disparate cultural events—the essential features of popular social media, the rise of motion-control gaming and mobile platforms, the controversy over the ""gamification"" of everyday life, the spatial turn, fabrication and 3D printing, and electronic publishing—and argues that cultural responses to changes in technology provide an essential context for understanding the emergence of the digital humanities as a new field of study in this millennium.",2013-08-15
