,Citation
0,http://cacm.acm.org/magazines/2013/12/169933-data-science-and-prediction/fulltext
1,https://www.springer.com/book/9784431702085
2,https://books.google.com/books?id=oGs_AQAAIAAJ
3,http://www.datascienceassn.org/about-data-science
4,https://www.oreilly.com/library/view/doing-data-science/9781449363871/ch01.html
5,https://medriscoll.com/post/4740157098/the-three-sexy-skills-of-data-geeks
6,https://flowingdata.com/2009/06/04/rise-of-the-data-scientist/
7,https://benfry.com/phd/dissertation/2.html
8,https://magazine.amstat.org/blog/2015/10/01/asa-statement-on-the-role-of-statistics-in-data-science/
9,https://www.statisticsviews.com/details/feature/5133141/Nate-Silver-What-I-need-from-statisticians.html
10,http://priceonomics.com/whats-the-difference-between-data-science-and/
11,https://statmodeling.stat.columbia.edu/2013/11/14/statistics-least-important-part-data-science/
12,https://www.datasciencecentral.com/profiles/blogs/data-science-without-statistics-is-possible-even-desirable
13,http://courses.csail.mit.edu/18.337/2015/docs/50YearsDataScience.pdf
14,https://www.mdpi.com/2504-2289/2/2/14
15,http://www2.isye.gatech.edu/~jeffwu/presentations/datascience.pdf
16,https://www.mdpi.com/2504-2289/2/2/14
17,https://www.forbes.com/sites/gilpress/2013/05/28/a-very-short-history-of-data-science/
18,https://www.stat.purdue.edu/~wsc/
19,https://magazine.amstat.org/blog/2016/06/01/datascience-2/
20,https://hbr.org/2012/10/data-scientist-the-sexiest-job-of-the-21st-century
21,https://www.nsf.gov/pubs/2005/nsb0540/
22,https://www.forbes.com/sites/gilpress/2013/08/19/data-science-whats-the-half-life-of-a-buzzword/
23,"https://www.glassdoor.com/List/Best-Jobs-in-America-LST_KQ0,20.htm"
24,https://www.bls.gov/ooh/computer-and-information-technology/computer-and-information-research-scientists.htm
25,https://www.mastersindatascience.org/careers/data-scientist/
26,https://www.northeastern.edu/graduate/blog/data-science-careers-shaping-our-future/
27,https://www.forbes.com/sites/peterpham/2015/08/28/the-impacts-of-big-data-that-you-may-not-have-heard-of/
28,https://towardsdatascience.com/how-data-science-will-impact-future-of-businesses-7f11f5699c4d
29,https://sites.engineering.ucsb.edu/~shell/che210d/python.pdf
30,https://cran.r-project.org/doc/FAQ/R-FAQ.html#What-is-R_003f
31,https://www.wired.com/2014/07/a-drag-and-drop-toolkit-that-lets-anyone-create-interactive-maps/
