title,authors,description,published_date
Coronavirus: A Book for Children,"Kate Wilson,Elizabeth Jenner,Nia Roberts","What is the coronavirus, and why is everyone talking about it? Engagingly illustrated by Axel Scheffler, this approachable and timely book helps answer these questions and many more, providing children aged 5-10 and their parents with clear and accessible explanations about the coronavirus and its effects - both from a health perspective and the impact it has on a family’s day-to-day life. With input from expert consultant Professor Graham Medley of the London School of Hygiene & Tropical Medicine, as well as advice from teachers and child psychologists, this is a practical and informative resource to help explain the changes we are currently all experiencing. The book is free to read and download, but Nosy Crow would like to encourage readers, should they feel in a position to, to make a donation to: https://www.nhscharitiestogether.co.uk/",2020-04-07
COVID-19,Debora MacKenzie,"In a gripping, accessible narrative, a veteran science journalist lays out the shocking story of how the COVID-19 coronavirus pandemic happened and how to make sure this never happens again Over the last 30 years of epidemics and pandemics, we learned nearly every lesson needed to stop this coronavirus outbreak in its tracks. We heeded almost none of them. The result is a pandemic on a scale never before seen in our lifetimes. In this captivating, authoritative, and eye-opening book, science journalist Debora MacKenzie lays out the full story of how and why it happened: the previous viruses that should have prepared us, the shocking public health failures that paved the way, the failure to contain the outbreak, and most importantly, what we must do to prevent future pandemics. Debora MacKenzie has been reporting on emerging diseases for more than three decades, and she draws on that experience to explain how COVID-19 went from a potentially manageable outbreak to a global pandemic. Offering a compelling history of the most significant recent outbreaks, including SARS, MERS, H1N1, Zika, and Ebola, she gives a crash course in Epidemiology 101--how viruses spread and how pandemics end--and outlines the lessons we failed to learn from each past crisis. In vivid detail, she takes us through the arrival and spread of COVID-19, making clear the steps that governments knew they could have taken to prevent or at least prepare for this. Looking forward, MacKenzie makes a bold, optimistic argument: this pandemic might finally galvanize the world to take viruses seriously. Fighting this pandemic and preventing the next one will take political action of all kinds, globally, from governments, the scientific community, and individuals--but it is possible. No one has yet brought together our knowledge of COVID-19 in a comprehensive, informative, and accessible way. But that story can already be told, and Debora MacKenzie's urgent telling is required reading for these times and beyond. It is too early to say where the COVID-19 pandemic will go, but it is past time to talk about what went wrong and how we can do better.",2020-06-01
Covid - 19: Coronavirus Perfect weapon or just coincidence,R P Meena,"Wuhan China Coronavirus Book: A-Z knowledge - symptom - guide - prevention: Is it Perfect weapon or just coincidence? By the time this book was published, the number of 2019-nCoV strains worldwide was officially confirmed to be 67,104 and had been increasing every hour. Of course with the current situation, everyone's worry about the disease is indisputable. A lot of false and inaccurate information has been spread throughout social networks, making the reader confused. This book will provide from A - Z all information about the Corona pandemic, such as: What is Coronavirus? Are all strains of Corona the same? How to know the exact information about the disease? What is the most effective way of preventing this pandemic? How to use the face mask hand sanitizer gloves Lysol respirator? Infrared precautions thermometer incubation period; in cats what is coronavirus human feline zombies? Symptoms in babies canine sars mers vaccine; Vaccination definition in horses treatment; Infection middle east respiratory syndrome; How to protect yourself? The truth behind the rumors? How to prevent and overcome pandemics? #Coronavirus #Covid19 #chinesevirus #wuhanvirus #whocorona #coronatreatment #coronavirusindia #coronavirusamerica #coronavirusitely",NA
Covid-19: Everything about Handwashing and Coronavirus,Dr. Timothy Zahar,"These days, we are panicking at the raging of corona virus. At first glance, China's health authorities underestimated their danger. And so far, its destructive power is the most terrible among the diseases that humans have experienced in the last 100 years. At the place where I work, people are rushing to buy medical masks. And business people take advantage of this to increase the price of masks and handwash to 10-12 times normal. As a doctor, I understand why this situation occurs. This is because most people do not yet know the corona virus and how it is transmitted. So, I took the time to write a file about corona virus (Everything about coronavirus and how to protect yourself), and a guide on how to choose and use medical masks properly (Everything about face masks and Coronavirus). And now, I feel I need to continue to teach people how to wash their hands properly. Because of this, along with wearing a mask, are the two most important things to help prevent the spread of corona virus in the community. In this booklet, I will share the following 3 main content: 1. Why should I wash my hands during the coronavirus outbreak? The benefits that handwashing brings to each of us help prevent disease spread. 2. How to wash your hands properly according to the instructions of reputable health organizations. 3. Finally, I will share the type of hand sanitizer recommended by health professionals. I hope that my knowledge and colleagues from health organizations around the globe will help people take the initiative in preventing the spread of corona virus disease. And we will repel it soon. Sincerely thank you! Dr. Timothy Zahar Drtimothyzahar@gmail.com",NA
COVID-19,Michael Mosley,"Discover the most essential and comprehensive information about the coronavirus (COVID-19) pandemic, how to ward off infection, and safeguard your mental and physical health during isolation—from the award-winning science journalist and #1 New York Times bestselling author of The Fast 800 and The FastDiet. Dr. Michael Mosley has experienced the effects of coronavirus firsthand, as he and both his sons—medical professionals in their twenties—all became ill during the height of the pandemic in London. Now recovered, Dr. Mosley shares his insights and explains the science behind the greatest public health crisis of our time. From the emergence of the novel virus in China at the end of 2019 to its rapid worldwide spread, this clear, detailed guide provides you with a basic understanding of the virus, how it jumps from person to person, how it can be overcome, and the most effective ways to protect yourself and your family. Featuring in-depth interviews with leading doctors and virus researchers working on the front lines to defeat this microscopic enemy, COVID-19 also tracks the ongoing developments in finding new treatments and an effective vaccine—the only way to ultimately halt the spread of the virus. Offering highly readable, easy-to-digest information about this global pandemic, Dr. Mosley’s COVID-19 is the ultimate resource to help you feel better informed and take care of yourself as we all work through this global crisis.",2020-06-02
Covid-19: HOW TO CHOOSE MASK,"Dr. Timothy Zahar,Bs. Lê Trọng Đại","INTRODUCTION In the past few days, I have received many emails from readers asking about ""how to choose the right mask to protect the safety of you and your loved ones during the flu pandemic"". As a doctor, I understand your confusion at the supermarket. There are many different types of face masks. And we don't know which one to choose: * What kind of mask prevents dust? * What kind of mask prevents bacteria? *What kind of masks can prevent viruses? Therefore, I am writing this small book to guide you on how to choose the right face mask for the flu. Content includes: 1. Types of face masks suitable to protect you from the flu virus. 2. Use respirator correctly to maximize the effectiveness of preventing the influenza virus. 3. Tips you can do right away to boost your immunity to the flu. I write this book based on answering the questions frequently asked by readers, so I believe it will be very easy to understand and practical to you. Thank you. Dr. Timothy Zahar",NA
Understanding Corona Virus (COVID-19),Tonny Rutakirwa,NA,NA
"COVID-19, MERS and SARS: Global Status","Gideon Informatics, Inc.,Dr. Stephen Berger","COVID-19, MERS and SARS: Global Status is one in a series of GIDEON ebooks which explore all individual infectious diseases, drugs, vaccines, outbreaks, surveys and pathogens in every country of the world. Data are based on the GIDEON web application (www.gideononline.com) which relies on standard text books, peer-review journals, Health Ministry reports and ProMED, supplemented by an ongoing exhaustive search of the medical literature. Chapters are arranged alphabetically, by disease. Each chapter includes: 1. Descriptive epidemiology 2. Summary of clinical features 3. Potential use in Bioterrorism 4. References COVID-19, MERS and SARS: Global Status includes separate sections on COVID-19, MERS Coronavirus infection, and SARS.",2020-03-05
Coronavirus Covid-19 A fictional story about a possible future.,Mark Rixon,NA,NA
Coronavirus Disease 2019 (COVID-19),Shailendra K. Saxena,"This book provides a comprehensive overview of recent novel coronavirus (SARS-CoV-2) infection, their biology and associated challenges for their treatment and prevention of novel Coronavirus Disease 2019 (COVID-19). Discussing various aspects of COVID-19 infection, including global epidemiology, genome organization, immunopathogenesis, transmission cycle, diagnosis, treatment, prevention, and control strategies, it highlights host-pathogen interactions, host immune response, and pathogen immune invasion strategies toward developing an immune intervention or preventive vaccine for COVID-19. An understanding of the topics covered in the book is imperative in the context of designing strategies to protect the human race from further losses and harm due to SARS-CoV-2 infection causing COVID-19.",2020-07-02
