title,authors,description,published_date
Which Puppy?,"Kate Feiffer,Jules Feiffer",Puppies from around the world--along with some would-be puppies--compete with one another to become the First Family's new puppy.,2009-04-07
The Dogist Puppies,Elias Weiss Friedman,Wonderfully expressive portraits show the adorable delight of puppies--from newborns to one-year-olds--in this irresistible photography gift book.,2017-09-19
Puppies,Gary Dickinson,"Puppies: Puppy Book For Kids is a book about learning the fun way to love & care for your first dog.Puppies are so cute, cuddly and down right irresistible and Coco was no exception! From the moment we laid eyes on her, there was just that something about Coco that yelled out ""TAKE ME HOME; TAKE ME HOME!!"" In his book, the author shares the joy of owning and taking care of Coco his Toy Poodle. The photos in this book have been ""chosen by Coco"" and taken out of Coco's personal portfolio just as they are. No photoshopping, enhancing or manipulating in any shape or form. They will bring Coco alive and show her as authentic, cute and down right adorable!Puppies, no matter what kind of dog it is, always look cute and cuddly. They excite children... heck, they excite and melt all of our hearts when we see them. It's like they are born to love us right from day 1. Their joy and happiness are evident from the minute they ""arrive"" in the world.But, as the author also found out, owning a puppy is exhausting work. Even for a small little Toy Poodle!! Although fun, this book is intended to bring out some of the responsibilities of owning a puppy together with the joys and rewards. It's about Puppy Love: A children's book about learning the fun way to love & care for your first dog.Children are always attracted to dogs, and more specifically, to puppies. What's not to love and draw you to that cute little bundle of fur. It's like children can see that these animals are their perfect playmate. Puppies have something that shares their own energy level. The pictures in this book will show the playfulness and cuteness of a puppy while the text brings a certain amount of education about keeping and caring for a dog. Added to that, the author has also included some fun learning experiences for the children reading the book e.g. counting balls; recognizing objects in photos; participating in what they see.Just like children, dogs learn extremely quickly and that their behaviors have consequences. Dogs are particularly responsive to praise so it's important to constantly praise your dog when it does something well (or what you want). This will go a long way to teaching your dog obedience and control.Some of the responsibilities shared in the book are things like walking or exercising the dog including the responsibility of cleaning up after it, washing, brushing, grooming, health care e.g. vaccinations, feeding, keeping the water bowl full, training and the need for obedience. Children are helped to understand these concepts with the illustrations and related text.For parents of children ""begging"" to have a puppy, this book will serve to help prepare them for dog ownership. The book should encourage meaningful conversation about the merits of owning a dog along with the duties that need to be considered with that ownership. It will also help evaluate the readiness for that big step of ""Puppy Love"" and owning Your First Dog.",2014-09-16
"Palace Puppies, Book Two Sunny to the Rescue",Laura Dower,"Sunny and Rex are royal puppies! Sunny is a lady like goldendoodle, and Rex is a mischievous beagle. They love living in the palace with their owners and best friends, Princess Annie and Prince James. The royal puppies are headed to the seaside to escape the heat. Rex has never been to the beach before, so he's very excited to play in the sand and waves, and maybe snag a hotdog or two. But Rex is a puppy who's excitement can get the best of him. When Rex goes missing, can Sunny save the day?",2013-07-02
Carl and the Puppies,Alexandra Day,"Mama Dog needs a rest. Carl offers to watch her puppies. Will he be able to keep three playful puppies out of trouble? Alexandra Day's beloved babysitter, Carl the dog, stars in this brand-new story created especially for beginning readers.",2011-05-10
Puppies For Dummies,Sarah Hodgson,"Features a new 8-page color section The bestselling guide to making the most of puppy's first year Bringing home a puppy? This fun, friendly guide to puppyhood prepares you for this tough but terrific time. From the basics -- housebreaking, feeding, training -- to the latest on doggie day care, traveling with a puppy, and the new designer breeds, you get everything you need to help your puppy grow up to be a healthy, playful, well-mannered dog. Discover how to * Choose the perfect puppy for you * Socialize your puppy * Stimulate your puppy's growing mind * Use the latest training tools * Keep peace between kids and puppies",2011-03-03
Puppies,Alice Twine,"Presents information about puppies, how they behave, and where they live.",2008-01
Life skills for puppies,"Helen Zulch,Daniel Mills","Approaching puppy education from the puppy's perspective, this book presents the key skills a dog needs to cope with life, and assists owners in developing a fulfilling relationship with their puppy. Beautiful photographs illustrate the points made, and each chapter includes a worksheet to help owners chart their puppy's progress.",2012
Puppies,Grace Elora,"Big eyes and a warm little nose, puppies are undeniably adorable. Readers take a close look at a puppy’s life. They’ll learn what they do to stay warm when they sleep and how to tell when a puppy is happy. Big, beautiful photographs and a lively narrative will keep readers engaged and entertained.",2011-01-01
I Love Dogs & Puppies,Nicola Jane Swinney,"From the gorgeous and fluffy toy breed, the Shih Tzu, to the highly intelligent and hard working German Shepherd, you're sure to find your favorite breed in this essential guide. With up to four photographs included per dog, the beauty and character of each breed is fully captured while their individual qualities are explored in the introductory text.",2020
Puppies,Kate Petty,"Describes how newborn puppies grow into fully-trained, obedient adults.",2005-07-30
Hipster Puppies,Christopher R. Weingarten,"The Internet phenomenon that unleashed ""adorable emo puppies with bed head, ironic sunglasses, and snobby musical tastes"". (Entertainment Weekly) They spend their time sniffing around local farmer's markets, pawing through stacks of vinyl at the record store, and making biting remarks at the café. They're hipster puppies-and they're always snarky, impeccably accessorized, and undeniably adorable. From the site hipsterpuppies.tumblr.com comes never-before-seen photos of these pupsters at play, as well as some of the blog's most popular shots. With their oversized egos-and sunglasses-they run the gamut from music festival fauxhemians to ironic trucker-hat-wearing vegans. And they're guaranteed to melt readers' jaded hearts.",2011-07-05
"Palace Puppies, Book One Sunny and the Royal Party",Laura Dower,"Sunny and Rex are royal puppies! Sunny is a lady-like goldendoodle, and Rex is a mischievous beagle. Together, they love living in the palace with their owners and best friends, Princess Annie and Prince James. But when Jackson, a royal pain, who just happens to be the guest of honor, shows up and threatens to ruin the birthday party that Annie and James have been planning for him, Sunny and Rex embark on an adventure to save the day. Can they help their best friends, cheer up the grouchy guest, and rescue the party before everything comes crumbling down? Join the palace puppies in their first fun-filled adventure!",2013-07-02
Puppies and Piggies,Cynthia Rylant,"Rhyming text describes what various animals do and what they love, as well as a baby who loves his bed and his mother.",2008-03-01
Puppies,"Rebecca Sjonger,Bobbie Kalman","Provides advice for beginning dog owners on choosing, preparing for, feeding, caring for, and handling a puppy.",2004
"Puppies, Anyone?",Ilona Benzel,"Risa, a shelter worker received a book from the Rainbow Bridge. The book outlines a litter's story as told by the puppies themselves about their life on earth. Read about Helga's litter of ten pups and see how humans can affect their lives. This book has the ability to change your thinking on how dogs live and are being bred. The author has over twenty-five years experience with dogs, some as her own pack of seven, and some as fosters or handled by her as an animal control officer. There is an intuitive knowledge of dogs, behavior and reactions. Some stories are true to life and others have been fictionalized. Ilona has a BA in commercial art and owned many German shepherds in her life. Her first German shepherd, Smoky, saved her as a child from a loose boxer challenging and cornering her at a neighbors house. There is a special bond with the breed due to this incident.",2016-01-08
Dora Saves the Puppies (Dora the Explorer),Nickelodeon Publishing,"Dora the Explorer and Boots are playing a new video game called 'Save the Puppies'. Suddenly, one of the puppies from the game comes to life and jumps out to try and escape the Dog Catcher. Can Dora and Boots help to save all the other puppies before it's too late? Find out in this new adventure based on a special episode. This Nickeolodeon Read-Along contains audio narration.",2013-04-01
Puppies Behind Bars,"Christopher Makos,Paul Solberg","Presents photographs of the Puppies Behind Bars program, in which young puppies are raised by prison inmates who socialize and train them for careers as guide dogs, law enforcement canines, and service dogs for the handicapped.",2007
First Steps with Puppies and Kittens,Linda White,NA,2008
Puppies,Amy Fernandez,"Complete Care Made Easy books address all the major concerns about owning and training a small pet. Each care book offers practical advice, emergency first aid tips, fun activities, and more! Look to the training titles for in-depth training techniques and helpful tips.",2011-11-08
Puppies,Colleen Sexton,"Puppies are born with a fully developed sense of smell. Get a first look at how these lovable household pets grow up, eat, and play.",2012-01-01
Draw the Draw 50 Way,Lee J. Ames,The master illustrator and art instructor brings together the best examples from his drawing handbooks into a definitive step-by-step approach designed to teach aspiring artists how to draw with ease.,2012
Idiot's Guides: Puppies,"Connie Swaim,Debra Eldredge DVM","Nothing's cuter or more fun than a new puppy. But it takes lots of work to get ready for them, to take good care of them, and to teach them to be a well-behaved member of the family. Idiot's Guides: Puppies gives readers everything they need to prepare for a new puppy and make the experience as smooth and enjoyable as possible, for the family as well as the puppy. In it, readers get: - Dozens of fun-loving and helpful full-color photographs - An assessment of what type of puppy is best for their home and lifestyle, plus tips on where to go to find one once they know what they are looking for. - Steps for preparing for the new puppy before it arrives, including puppy-proofing the home and yard, buying the necessary tools and equipment, preparing kids and other pets, and setting up places for the puppy to sleep and eat. - Tips on how much and when to feed your puppy, and how to choose among dry food, canned food, and home-cooked and natural options. - Step-by-step training tutorials for housetraining, basic commands and manners, socialization, and solving problem behaviors such as biting and chewing. - Expert medical advice from a veterinarian on what to watch for, and what to do when your puppy is sick or injured.",2014-12-02
Puppies,Kelly Doudna,Simple text and photographs present the physical characteristics and behavior of puppies.,2010-09-01
All About Border Collie Puppies,Caroline Smith,"Learn how to lead a full and rewarding life with your Border Collie Puppy and watch them develop into a mature healthy Border Collie! In Fact, if you want to learn all you can about Border Collie Puppies, then you've come to the right place! The Border Collie is a very loving breed that will be devoted to you throughout their entire lives... Discover... o What to look for in a Border Collie owner or breeder o When is the Border Collie puppy old enough to leave the mother o How to choose the right Border Collie puppy for YOU o What to watch for o Paperwork o Questions to ask o Bringing the Border Collie puppy home o Preparation at home o Arrival o Introducing the family o Keeping a healthy Border Collie puppy o Good nutrition o Vaccinations and vet visits o Common Border Collie puppy health problems Act now and get How to Train your Border Collie. With our No Quibble, Money Back Guarantee really have nothing to lose but everything to gain. A loving, caring, more rewarding relationship with your chosen friend. Take care of yourself and your Border Collie Caroline",2006-10-01
